,thumb-title,thumb-time
0,"Meghan Markle já conseguiu 1º trabalho após sair da família real, diz site  ",01/02/2020 17h55
1,Sarah Michelle Gellar e Freddie Prinze Jr. comemoram 20 anos do 1º encontro  ,01/02/2020 17h15
2,Missão: Impossível 7 e 8 terão a volta de personagem clássico da franquia  ,01/02/2020 16h13
3,"Jim Carrey é criticado por piada sobre visual de Margot Robbie: ""incômodo""  ",01/02/2020 13h20
4,"Morre Alan Harris, ator de Star Wars e Doctor Who, aos 81 anos  ",01/02/2020 12h27
5,"Aves de Rapina aborda ""m*rdas misóginas que mulheres enfrentam"", diz ator  ",01/02/2020 09h44
6,Super Bowl também é cinema: os trailers que podem aparecer no intervalo  ,01/02/2020 04h00
7,O Grande Lebowski: derivado focado em Jesus ganha primeiro teaser; confira  ,01/02/2020 00h15
8,Ator de série dos anos 90 que surgiu irreconhecível consegue tratamento  ,31/01/2020 20h32
9,Velozes e Furiosos 9: Vin Diesel enfrenta novo vilão em trailer; assista  ,31/01/2020 18h18
10,Owen Wilson entra para o elenco da série Loki  ,31/01/2020 16h07
11,Atriz que dubla Peppa Pig deixará papel após 13 anos  ,31/01/2020 14h53
12,"Adam Sandler vai estrelar mais quatro filmes na Netflix, incluindo animação  ",31/01/2020 13h48
13,Hank Schrader aparece em trailer da 5ª temporada de Better Call Saul  ,31/01/2020 12h47
14,Ragnarok: série sobre mitologia nórdica estreia com 6 episódios  ,31/01/2020 12h24
15,The Crown vai acabar na 5ª temporada; Imelda Staunton será última rainha  ,31/01/2020 12h05
16,Fãs não estão sabendo lidar com o fim de BoJack Horseman e The Good Place  ,31/01/2020 12h02
17,Um Lugar Silencioso - Pt. 2: Trailer do Super Bowl vai do susto à esperança  ,31/01/2020 11h37
18,Mulan vai para o combate em teaser cheio de ação para o Super Bowl  ,31/01/2020 11h33
19,Gregório Duvivier anda com segurança e cogita sair do país após ataque  ,31/01/2020 10h30
20,Astro de Thor e a mulher encontram cobra em garagem e resgatam canguru  ,31/01/2020 10h13
21,Novo Bad Boys prova que em time vencedor não se mexe (muito)  ,31/01/2020 04h23
22,Como Jackie Chan ganhou US$ 150 milhões e você nem o viu no cinema?  ,31/01/2020 04h00
23,"Revelado o elenco de Nightmare Alley, novo filme de Guillermo del Toro  ",30/01/2020 23h26
24,Penélope Cruz e Keanu Reeves apresentarão prêmios na cerimônia do Oscar  ,30/01/2020 19h07
25,"Onisciente, série brasileira dos criadores de 3%, ganha trailer  ",30/01/2020 15h56
26,"Netflix lança seu ""namoro na TV"" em que casais ficam noivos sem se ver  ",30/01/2020 15h03
27,"Ratatouille em live-action? Web ri com vídeo ""fofo"" de ratinhos culinários  ",30/01/2020 14h43
28,Sindicato de atores dos Estados Unidos cria novas regras para cenas de sexo  ,30/01/2020 12h33
29,Fãs de Toy Story recriam filme em stop-motion  ,30/01/2020 11h37
30,Astro de Ducks preso vive na rua e preocupa amigos por drogas e diabetes  ,30/01/2020 08h38
31,Série 'The Good Doctor' ajudou ator na luta contra doença cerebral do filho  ,30/01/2020 04h00
32,"Primeiras reações sobre Aves de Rapina rasgam elogios ao filme: ""Divertido""  ",29/01/2020 21h56
33,Novo filme de Wes Anderson ganha data de lançamento e pôster  ,29/01/2020 19h08
34,"Daniel Radcliffe, o Harry Potter, diz que interpretaria Lupin ou Sirius  ",29/01/2020 16h37
35,Snoop Dogg aparece em novo teaser de Bob Esponja: O Incrível Resgate  ,29/01/2020 16h30
36,Henry Cavil explica por que a espada de Geralt em The Witcher é poderosa  ,29/01/2020 15h50
37,Marilyn Manson aparece em cena de The New Pope ao lado de John Malkovich  ,29/01/2020 14h47
38,Narcos: México ganha novo trailer mostrando crescimento do cartel mexicano  ,29/01/2020 13h14
39,Você consegue adivinhar o nome do filme com essa descrição tosca?  ,29/01/2020 12h00
40,Último episódio de Arrow traz herói da Liga da Justiça para a série  ,29/01/2020 11h36
41,"Sylvester Stallone surge de cabelos e barba grisalhos: ""Muito verdadeiro""  ",29/01/2020 11h14
42,Coronavírus: TV chinesa cancela transmissão do tapete vermelho do Oscar  ,29/01/2020 10h05
43,Para Todos Os Garotos Que Já Amei 2 ganha cena inédita; assista  ,29/01/2020 09h55
44,"Máquina Mortífera terá adeus em 5º filme com Gibson e Glover, diz produtor  ",29/01/2020 09h12
45,"Festival de Berlim terá filme brasileiro e estreia de Dois Irmãos, da Pixar  ",29/01/2020 08h20
46,"Filme de Roman Polanski lidera as indicações ao César, o Oscar francês  ",29/01/2020 07h58
47,"Roger Deakins, diretor de fotografia de 1917: ""Podia ter dado muito errado""  ",29/01/2020 03h02
